	Virulent	Temperate
667_k79_50847_flag=0_multi=31.9963_len=167348	0.0125	0.9875
666_k79_242332_flag=0_multi=17.9970_len=48847	0.0125	0.9875
669_k79_162938_flag=1_multi=7.4327_len=3851	0.0875	0.9125
665_k141_178532_flag=1_multi=42.9868_len=137147_fragment_1	0.0	1.0
665_k141_63824_flag=1_multi=18.0000_len=43693	0.9675660792951541	0.03243392070484581
667_k79_267327_flag=1_multi=12.0000_len=20348	0.961546015121	0.038453984878999835
666_k79_137659_flag=0_multi=102.9700_len=136085_fragment_1	0.0	1.0
666_k79_158197_flag=1_multi=8.0000_len=39832_fragment_1	0.7625	0.2375
665_k141_39165_flag=0_multi=23.0000_len=16178	0.8118782016546146	0.1881217983453865
663_k79_199909_flag=1_multi=17.5658_len=22766	0.875	0.125
663_k79_40660_flag=0_multi=7.9703_len=8033	0.9730446118192353	0.02695538818076477
665_k141_74788_flag=0_multi=28.9989_len=25376	0.9529185022026428	0.04708149779735683
666_k79_200807_flag=0_multi=16.9645_len=60548_fragment_1	0.275	0.725
665_k141_20044_flag=1_multi=12.0000_len=9182	0.9453744493392069	0.054625550660792964
665_k141_126153_flag=1_multi=18.0000_len=34239	0.825	0.175
663_k79_29885_flag=1_multi=7.1024_len=4162	0.9972986238568456	0.002701376143154288
669_k79_13623_flag=0_multi=30.9810_len=63386	0.1625	0.8375
663_k79_252428_flag=0_multi=11.4700_len=32986	0.8375	0.1625
665_k141_5956_flag=1_multi=46.0000_len=12948	0.8118782016546146	0.1881217983453865
665_k141_21708_flag=1_multi=112.0370_len=91551_fragment_1	0.0125	0.9875
665_k141_219061_flag=3_multi=40.0039_len=10323	0.0	1.0
665_k141_175228_flag=1_multi=33.0000_len=40908	0.2375	0.7625
665_k141_100968_flag=0_multi=30.9868_len=99834	0.0875	0.9125
665_k141_193838_flag=0_multi=13.9906_len=30553	0.9121154092034451	0.08788459079655483
665_k141_152259_flag=1_multi=12.9920_len=57480	0.0625	0.9375
663_k79_24415_flag=1_multi=10.9749_len=35407	0.0125	0.9875
668_k79_241552_flag=1_multi=13.9734_len=46303	0.0	1.0
665_k141_217868_flag=0_multi=27.6599_len=29041	0.0	1.0
669_k79_164906_flag=0_multi=12.1801_len=57496	0.4125	0.5875
665_k141_124302_flag=1_multi=26.8845_len=74221	0.0125	0.9875
663_k79_226875_flag=0_multi=12.0058_len=46587	0.0	1.0
666_k79_169538_flag=0_multi=10.9419_len=25025	1.0	0.0
665_k141_199726_flag=0_multi=17.8577_len=72490_fragment_1	0.0125	0.9875
669_k79_308866_flag=0_multi=171.0000_len=29094	0.175	0.825
663_k79_175313_flag=1_multi=16.2912_len=32226	0.7375	0.2625
665_k141_150672_flag=1_multi=9.0000_len=3357	0.9602261948935176	0.03977380510648237
663_k79_90135_flag=0_multi=12.6370_len=3418	0.8118782016546146	0.1881217983453865
663_k79_14383_flag=0_multi=12.4357_len=59665	0.0	1.0
663_k79_177287_flag=1_multi=11.0000_len=218238	0.25	0.75
663_k79_210135_flag=0_multi=10.3591_len=21485	0.8670681937000762	0.13293180629992427
668_k79_74238_flag=1_multi=10.0000_len=29117	0.911853002879538	0.0881469971204623
663_k79_256638_flag=0_multi=14.2083_len=37006	0.2	0.8
665_k141_181767_flag=0_multi=13.1597_len=23641	0.1125	0.8875
665_k141_140010_flag=1_multi=12.0164_len=38085	0.9125	0.0875
665_k141_51306_flag=1_multi=9.0000_len=30439_fragment_1	0.986124694376528	0.013875305623471884
665_k141_3888_flag=1_multi=14.9941_len=45584	0.1375	0.8625
663_k79_60934_flag=0_multi=8.2803_len=37144	0.0375	0.9625
668_k79_174670_flag=1_multi=5.1686_len=2350	0.0625	0.9375
665_k141_66721_flag=1_multi=11.9224_len=14885	0.025	0.975
665_k141_64663_flag=0_multi=23.9920_len=131975_fragment_3	0.0	1.0
666_k79_233443_flag=1_multi=9.0000_len=36337	0.917732149291551	0.08226785070844915
668_k79_126535_flag=0_multi=15.9907_len=32501	0.975	0.025
668_k79_79148_flag=0_multi=24.8721_len=188294_fragment_1	0.025	0.975
666_k79_244546_flag=0_multi=20.9869_len=99577_fragment_1	0.0375	0.9625
665_k141_90909_flag=0_multi=21.9699_len=30826	0.0	1.0
668_k79_259905_flag=3_multi=14.0018_len=7777	0.8055318067045922	0.19446819329540882
667_k79_147275_flag=1_multi=9.0000_len=28140	0.0375	0.9625
666_k79_83433_flag=1_multi=9.5807_len=17097	0.8156080274570939	0.1843919725429068
663_k79_200313_flag=0_multi=10.1236_len=57151	0.15	0.85
663_k79_29949_flag=0_multi=11.3283_len=33420	0.075	0.925
669_k79_287007_flag=0_multi=45.4726_len=41114	0.0	1.0
665_k141_40631_flag=1_multi=37.3861_len=52416	0.175	0.825
663_k79_114346_flag=0_multi=12.9938_len=78077	0.025	0.975
665_k141_137399_flag=1_multi=9.0000_len=23162	0.025	0.975
667_k79_215130_flag=1_multi=10.0000_len=27286	0.3375	0.6625
665_k141_209339_flag=1_multi=32.3384_len=44486	0.05	0.95
669_k79_78451_flag=1_multi=7.0000_len=3154	0.8118782016546146	0.1881217983453865
663_k79_275004_flag=0_multi=10.8552_len=71874_fragment_1	0.025	0.975
667_k79_155710_flag=1_multi=23.0000_len=36398	0.0	1.0
665_k141_67898_flag=0_multi=18.9937_len=62595_fragment_1	0.0	1.0
665_k141_105247_flag=1_multi=17.0000_len=20708	0.0625	0.9375
668_k79_244165_flag=0_multi=59.8349_len=40916	0.0	1.0
663_k79_345967_flag=0_multi=12.9650_len=23549	0.8362407930380643	0.16375920696193652
663_k79_325568_flag=1_multi=12.7267_len=3460	0.8118782016546146	0.1881217983453865
666_k79_89027_flag=0_multi=15.9913_len=67680	0.0125	0.9875
668_k79_114365_flag=0_multi=69.4918_len=51719_fragment_1	0.0	1.0
669_k79_112168_flag=0_multi=90.1358_len=37772	0.2625	0.7375
663_k79_197072_flag=1_multi=12.6452_len=4543	0.8118782016546146	0.1881217983453865
663_k79_187552_flag=1_multi=10.9248_len=27308	0.75	0.25
663_k79_55555_flag=1_multi=15.9141_len=141904	0.025	0.975
667_k79_73867_flag=1_multi=7.0000_len=4510	0.7801973201466772	0.21980267985332375
669_k79_230953_flag=1_multi=24.9488_len=19254	0.3375	0.6625
667_k79_172836_flag=0_multi=16.5047_len=133309_fragment_1	0.25	0.75
665_k141_219052_flag=3_multi=28.0020_len=14255	0.0	1.0
665_k141_165264_flag=0_multi=16.9527_len=24172	0.7805886646826714	0.21941133531732868
668_k79_32388_flag=1_multi=32.4916_len=36598	0.075	0.925
666_k79_118799_flag=0_multi=140.8262_len=83860_fragment_1	0.0625	0.9375
667_k79_231589_flag=1_multi=41.5359_len=62530	0.9714345006768946	0.028565499323105405
665_k141_130238_flag=1_multi=10.0000_len=7225	0.1625	0.8375
669_k79_341179_flag=0_multi=31.0000_len=25560	0.0375	0.9625
663_k79_239212_flag=0_multi=37.4591_len=51402	0.9125	0.0875
663_k79_398364_flag=3_multi=34.0008_len=43740	0.05	0.95
669_k79_10617_flag=0_multi=109.5232_len=22710	0.7151982378854627	0.2848017621145374
665_k141_35799_flag=1_multi=18.9885_len=50200_fragment_1	0.8625	0.1375
665_k141_149725_flag=0_multi=35.4341_len=7716	0.8800192706002263	0.11998072939977371
663_k79_383130_flag=1_multi=7.0000_len=16600	0.8160944373441723	0.18390556265582858
663_k79_187656_flag=1_multi=9.9224_len=29911	0.75	0.25
666_k79_52030_flag=1_multi=7.0000_len=3494	0.8118782016546146	0.1881217983453865
666_k79_195790_flag=0_multi=15.9647_len=36432	0.452165463005735	0.547834536994265
663_k79_392203_flag=0_multi=17.9596_len=16920	0.8118782016546146	0.1881217983453865
