	Virulent	Temperate
H4007_k119_102245_flag=0_multi=87.9817_len=95293_fragment_1	0.475	0.525
P6016_k119_89181_flag=0_multi=15.9889_len=27174	0.930066079	0.069933921
P6018_k119_188654_flag=1_multi=28.0000_len=28818	0.0125	0.9875
M2008_k119_64099_flag=1_multi=14.0000_len=27827	0.914518712	0.085481288
H4040_k119_18606_flag=0_multi=86.4803_len=40671	0.122522026	0.877477974
C3011_k119_173407_flag=0_multi=227.8641_len=33535	0.6625	0.3375
C3011_k119_108569_flag=0_multi=45.3151_len=42361	0.0625	0.9375
M2008_k119_87007_flag=0_multi=59.7684_len=30689	0.925	0.075
H4008_k119_50641_flag=1_multi=57.0000_len=57061_fragment_1	0	1
C3016_k119_96175_flag=1_multi=91.0000_len=42583	0	1
C3004_k119_51681_flag=0_multi=81.8588_len=35279	0	1
P6010_k119_84985_flag=0_multi=97.0000_len=5252	0.811878202	0.188121798
M2103_k119_241965_flag=1_multi=12.0000_len=22910	0.811878202	0.188121798
H4031_k119_86435_flag=1_multi=14.0000_len=27931	0.758646721	0.241353279
C3022_k119_95416_flag=0_multi=140.9717_len=34742	0.225	0.775
H4027_k119_25906_flag=1_multi=14.0000_len=25393	0.861820474	0.138179526
C3016_k119_20106_flag=1_multi=47.0000_len=24510	0.6625	0.3375
C3016_k119_104585_flag=0_multi=50.9520_len=41777	0	1
C3006_k119_163805_flag=0_multi=75.6942_len=43046	0.025	0.975
H4013_k119_133246_flag=0_multi=58.9682_len=36581	0.2	0.8
C3006_k119_11885_flag=0_multi=112.0288_len=120123_fragment_1	0	1
M2010_k119_44601_flag=0_multi=41.2887_len=88221_fragment_1	0.025	0.975
C3004_k119_58387_flag=0_multi=1245.5327_len=28929	1	0
C3001_k119_39_flag=3_multi=1989.6063_len=88380	0.9875	0.0125
C3005_k119_200908_flag=0_multi=24.9890_len=43739_fragment_1	0.0125	0.9875
H4031_k119_56423_flag=0_multi=17.8980_len=55025_fragment_1	0.125	0.875
H4018_k119_76350_flag=3_multi=38.0071_len=5483	0.811878202	0.188121798
M2069_k119_23500_flag=1_multi=21.0000_len=51603	0.9125	0.0875
P6035_k119_38423_flag=0_multi=13.9907_len=28158	0.811878202	0.188121798
P6018_k119_160302_flag=0_multi=44.5142_len=21705	0.745044053	0.254955947
H4023_k119_262392_flag=3_multi=94.0021_len=45413	0	1
M2039_k119_48921_flag=1_multi=1150.0000_len=96503	0.871321705	0.128678295
M2039_k119_30738_flag=0_multi=258.9479_len=99238_fragment_1	0.05	0.95
C3024_k119_7683_flag=1_multi=14.0000_len=44269	0.8375	0.1625
H4043_k119_98967_flag=0_multi=137.9118_len=31171	0.458066638	0.541933362
E5002_k119_33219_flag=0_multi=170.8293_len=39958	0.7	0.3
C3022_k119_245634_flag=1_multi=21.0000_len=44215	0.0375	0.9625
H4023_k119_247097_flag=0_multi=1945.5622_len=14463	0.84553033	0.15446967
M2034_k119_34208_flag=1_multi=88.0000_len=47704	0.0875	0.9125
M2025_k119_1655_flag=3_multi=190.0000_len=221535	0.1875	0.8125
M2072_k119_118395_flag=1_multi=620.4550_len=22871	0.811878202	0.188121798
P6005_k119_26485_flag=0_multi=131.9721_len=94072	0.0625	0.9375
H4045_k119_103823_flag=1_multi=211.0000_len=23090	0.025	0.975
P6009_k119_111996_flag=0_multi=97.8367_len=23873	0.1375	0.8625
H4022_k119_28998_flag=0_multi=169.9369_len=107331_fragment_3	0	1
M2083_k119_172858_flag=1_multi=117.9230_len=30490	0.95	0.05
P6016_k119_19753_flag=1_multi=19.5808_len=21153	0.797504584	0.202495416
C3009_k119_30214_flag=0_multi=118.7486_len=38865	0.05	0.95
P6013_k119_37715_flag=1_multi=25.6791_len=30999	0.0125	0.9875
H4018_k119_12171_flag=1_multi=33.0000_len=34518	0.998088282	0.001911718
C3032_k119_204239_flag=1_multi=57.0000_len=51024_fragment_2	0.835377622	0.164622378
M2072_k119_67071_flag=0_multi=108.5993_len=54235_fragment_1	0.0625	0.9375
H4006_k119_125069_flag=1_multi=16.0000_len=43784	0.125	0.875
C3031_k119_48545_flag=1_multi=30.0000_len=16362	0.935022026	0.064977974
M2060_k119_197309_flag=0_multi=118.0000_len=84138_fragment_1	0.4875	0.5125
H4008_k119_229149_flag=1_multi=23.0000_len=37139	0.9625	0.0375
M2069_k119_198253_flag=0_multi=24.9844_len=30890	0.825	0.175
M2069_k119_13011_flag=0_multi=70.9575_len=33078	0.579131302	0.420868698
M2079_k119_153518_flag=1_multi=18.0000_len=5055	0.787222379	0.212777621
C3034_k119_3499_flag=3_multi=785.1892_len=183317	0.975	0.025
H4035_k119_53013_flag=0_multi=33.9638_len=36591	0.725	0.275
M2064_k119_252742_flag=1_multi=12.0000_len=24588	0.75833012	0.24166988
C3027_k119_37497_flag=1_multi=67.9931_len=195519_fragment_1	0.05	0.95
M2042_k119_130194_flag=0_multi=72.3364_len=31775	0.837610132	0.162389868
C3030_k119_76757_flag=0_multi=98.6078_len=166580_fragment_1	0	1
M2064_k119_124144_flag=1_multi=40.0000_len=36970	0.873624694	0.126375306
M2027_k119_141455_flag=1_multi=19.0000_len=43671	0.0375	0.9625
H4032_k119_106459_flag=0_multi=56.9894_len=212162	0.0875	0.9125
C3009_k119_5833_flag=0_multi=124.4159_len=95060_fragment_1	0	1
C3023_k119_96821_flag=1_multi=1910.0000_len=13017	0.811878202	0.188121798
P6018_k119_28067_flag=1_multi=24.0000_len=23025	0.998951454	0.001048546
C3021_k119_115726_flag=0_multi=15.9861_len=21697	0.872017114	0.127982886
C3009_k119_54307_flag=0_multi=425.5305_len=65817_fragment_1	0	1
H4040_k119_85831_flag=1_multi=58.0000_len=20820	0.916300906	0.083699094
P6009_k119_74981_flag=1_multi=28.0000_len=46276_fragment_1	0	1
P6028_k119_118648_flag=0_multi=81.9353_len=25175_fragment_1	0	1
M2077_k119_10936_flag=0_multi=295.4126_len=77744_fragment_1	0.357544053	0.642455947
M2068_k119_100508_flag=0_multi=59.9390_len=38827	0.1875	0.8125
M2034_k119_235646_flag=1_multi=13.0000_len=32536	0.8375	0.1625
M2084_k119_229580_flag=0_multi=85.9604_len=43074	0.844091858	0.155908142
P6038_k119_43703_flag=1_multi=24.0000_len=27719	0.870154185	0.129845815
H4024_k119_33693_flag=1_multi=16.0000_len=73373_fragment_2	0	1
M2069_k119_119212_flag=0_multi=76.9759_len=63171_fragment_1	0	1
E5013_k119_213951_flag=0_multi=2689.0000_len=39020	0.7875	0.2125
P6018_k119_65260_flag=0_multi=55.9652_len=31760	0.885242291	0.114757709
C3022_k119_201222_flag=0_multi=77.9832_len=45611	1	0
C3016_k119_127363_flag=1_multi=98.9751_len=78699_fragment_1	0.835242291	0.164757709
M2068_k119_10550_flag=0_multi=169.0000_len=43461	0.95	0.05
C3005_k119_128574_flag=1_multi=44.9890_len=60206	0.025	0.975
E5006_k119_54337_flag=0_multi=9.9805_len=27827	0.0125	0.9875
M2058_k119_1913_flag=1_multi=52.0000_len=54048	0.8875	0.1125
H4039_k119_96725_flag=1_multi=175.0000_len=101302_fragment_1	0.8875	0.1125
C3010_k119_123524_flag=0_multi=235.7210_len=122259_fragment_1	0	1
C3027_k119_58142_flag=3_multi=103.0000_len=34489	0	1
H4015_k119_160848_flag=1_multi=20.9924_len=52873	0	1
C3012_k119_120127_flag=1_multi=20.0000_len=8295	0.858866985	0.141133015
C3006_k119_68617_flag=0_multi=118.9761_len=99062_fragment_2	0.842566079	0.157433921
P6033_k119_124404_flag=3_multi=34.0059_len=5877	0.811878202	0.188121798
P6010_k119_175828_flag=0_multi=243.1433_len=72099	0	1
M2069_k119_184664_flag=0_multi=53.9529_len=22615	0.9875	0.0125
P6028_k119_73464_flag=1_multi=26.0386_len=40018	0.0125	0.9875
C3028_k119_49166_flag=0_multi=58.9512_len=23872	0.84553033	0.15446967
C3005_k119_116994_flag=1_multi=11.0000_len=34114	0.8375	0.1625
H4015_k119_91452_flag=0_multi=18.9927_len=49541	0.35	0.65
C3032_k119_111822_flag=0_multi=116.7492_len=25857	0	1
P6017_k119_59063_flag=0_multi=101.9490_len=73032_fragment_1	0	1
H4008_k119_46951_flag=1_multi=39.0000_len=49915	0.997549889	0.002450111
H4039_k119_51645_flag=0_multi=19.6234_len=73599_fragment_1	0.95	0.05
H4009_k119_124_flag=1_multi=38.4280_len=30296	0.859200513	0.140799487
M2034_k119_247744_flag=0_multi=153.4402_len=80585_fragment_1	0.025	0.975
C3001_k119_40876_flag=0_multi=25.7998_len=22161	0	1
E5013_k119_185190_flag=1_multi=137.0000_len=37782	0	1
C3035_k119_57097_flag=1_multi=14.0000_len=20077	0.0125	0.9875
C3002_k119_13297_flag=0_multi=37.9908_len=80323_fragment_1	0.325	0.675
M2028_k119_144949_flag=3_multi=20.0034_len=6079	0.811878202	0.188121798
M2075_k119_136036_flag=0_multi=89.5436_len=92043_fragment_1	0.0875	0.9125
H4030_k119_104681_flag=1_multi=22.0000_len=40295	0.05	0.95
C3003_k119_105463_flag=1_multi=6.0000_len=3880	0.811878202	0.188121798
H4023_k119_192529_flag=1_multi=8.0000_len=5805	0.960226195	0.039773805
E5009_k119_72178_flag=0_multi=215.3625_len=47033	0.0875	0.9125
C3015_k119_44109_flag=0_multi=1986.0426_len=81120_fragment_1	0	1
M2047_k119_93188_flag=0_multi=342.5452_len=30200	0.05	0.95
H4019_k119_294112_flag=3_multi=18.0031_len=5904	0.811878202	0.188121798
M2042_k119_315427_flag=1_multi=29.9100_len=187596_fragment_3	0.7125	0.2875
C3022_k119_46383_flag=0_multi=32.9785_len=29818	0.905066079	0.094933921
M2042_k119_268473_flag=1_multi=18.0000_len=42145_fragment_1	0.905176211	0.094823789
E5002_k119_49615_flag=1_multi=10.0000_len=36235_fragment_1	0.0125	0.9875
C3031_k119_77512_flag=0_multi=35.7201_len=53252	0.7	0.3
C3004_k119_101859_flag=1_multi=21.9787_len=26797	0.735022026	0.264977974
P6028_k119_479_flag=0_multi=57.9068_len=24582	0.785022026	0.214977974
M2064_k119_29471_flag=1_multi=33.7475_len=36409	0	1
P6038_k119_56371_flag=0_multi=273.2922_len=112968_fragment_1	0.075	0.925
H4006_k119_135476_flag=1_multi=283.7672_len=48750	0.125	0.875
H4035_k119_66667_flag=0_multi=32.9797_len=31608	0.875	0.125
P6014_k119_153804_flag=3_multi=8.0015_len=5592	0.892185711	0.107814289
P6017_k119_15305_flag=0_multi=61.0000_len=34765	0.3125	0.6875
H4040_k119_48218_flag=0_multi=52.9807_len=35157	0.1625	0.8375
H4013_k119_143950_flag=0_multi=16.9887_len=28402	0	1
C3027_k119_133604_flag=0_multi=64.0000_len=92477	0.05	0.95
H4038_k119_132776_flag=1_multi=581.7483_len=11633	0.975	0.025
M2072_k119_137629_flag=0_multi=89.9283_len=27420	0.8875	0.1125
H4009_k119_1377_flag=1_multi=137.0000_len=80472	0.05	0.95
M2048_k119_41313_flag=1_multi=21.0000_len=23427	0.85	0.15
H4015_k119_161213_flag=0_multi=401.1527_len=12825	0	1
E5022_k119_36083_flag=1_multi=174.3748_len=43896	0.477588106	0.522411894
M2042_k119_343765_flag=1_multi=18.0000_len=24420	0.9875	0.0125
M2084_k119_34591_flag=1_multi=30.0000_len=43620	0.0125	0.9875
H4039_k119_138510_flag=0_multi=44.0000_len=28053	0.75833012	0.24166988
H4024_k119_99867_flag=0_multi=125.9674_len=76726	0.0125	0.9875
M2041_k119_46466_flag=0_multi=15.9567_len=36936	0.685022026	0.314977974
P6014_k119_28644_flag=0_multi=37.9882_len=62755_fragment_1	0.9375	0.0625
H4039_k119_169455_flag=3_multi=281.0040_len=70749	0.960226195	0.039773805
M2034_k119_26567_flag=1_multi=30.2293_len=22193	0.855023865	0.144976135
C3016_k119_40417_flag=0_multi=17.9896_len=32933_fragment_1	0.964487474	0.035512526
M2028_k119_46573_flag=1_multi=19.0000_len=38884	0.0125	0.9875
C3015_k119_65971_flag=0_multi=19.0000_len=55339_fragment_1	0.025	0.975
C3009_k119_53898_flag=0_multi=60.1546_len=3915	0.811878202	0.188121798
M2014_k119_3488_flag=1_multi=22.0000_len=22019	0	1
H4045_k119_28417_flag=0_multi=382.7854_len=35725	0	1
H4008_k119_80058_flag=1_multi=51.0000_len=5786	0.811878202	0.188121798
M2027_k119_89094_flag=1_multi=15.0000_len=36271	0	1
H4038_k119_132824_flag=3_multi=43.0068_len=6427	0.811878202	0.188121798
P6028_k119_51148_flag=0_multi=79.0000_len=18869	0	1
M2085_k119_55473_flag=0_multi=21.0146_len=50549	0.05	0.95
C3006_k119_108131_flag=0_multi=26.9210_len=43549	0.725	0.275
M2008_k119_62245_flag=0_multi=232.9078_len=50452	0.95	0.05
M2027_k119_42571_flag=1_multi=34.0000_len=78748	0.0125	0.9875
C3001_k119_81100_flag=0_multi=135.6501_len=15550	0.969066659	0.030933341
M2064_k119_141999_flag=0_multi=132.4100_len=36254	0.075	0.925
C3005_k119_112213_flag=0_multi=113.9623_len=120166_fragment_1	1	0
E5004_k119_95549_flag=0_multi=30.9796_len=29539	0.998656518	0.001343482
C3028_k119_87238_flag=0_multi=116.9609_len=59446_fragment_1	0.0625	0.9375
H4028_k119_41087_flag=1_multi=230.7406_len=35585	0.975	0.025
P6033_k119_44871_flag=0_multi=72.1395_len=25530	0	1
C3010_k119_64082_flag=1_multi=13.0000_len=27833	0.917566079	0.082433921
H4006_k119_99761_flag=0_multi=151.9252_len=80830	0	1
P6025_k119_57800_flag=0_multi=29.9851_len=38918	0	1
M2025_k119_163419_flag=3_multi=179.0046_len=39372	0.0875	0.9125
C3027_k119_114030_flag=0_multi=37.7875_len=25893	0.0125	0.9875
P6018_k119_120478_flag=0_multi=97.9513_len=39958	0	1
C3002_k119_21057_flag=1_multi=19.0000_len=24485	0.95	0.05
M2072_k119_99818_flag=1_multi=26.0000_len=58848	0.0375	0.9625
P6018_k119_164266_flag=1_multi=15.0000_len=6236	0	1
M2083_k119_127751_flag=0_multi=15.9732_len=22505	0.2625	0.7375
H4004_k119_30512_flag=0_multi=25.0000_len=42016	0.925	0.075
M2041_k119_2132_flag=1_multi=24.0000_len=28755	0.8	0.2
M2034_k119_77831_flag=1_multi=100.0000_len=73173_fragment_1	0	1
E5009_k119_4506_flag=1_multi=2238.0476_len=84714	0.875	0.125
M2064_k119_339854_flag=3_multi=271.0031_len=88696	0.825	0.175
H4035_k119_3063_flag=1_multi=11.0000_len=14350	0.811878202	0.188121798
M2068_k119_67119_flag=1_multi=22.0000_len=21106	0.875	0.125
H4007_k119_12426_flag=0_multi=35.9698_len=23294	0	1
M2048_k119_2689_flag=1_multi=318.5755_len=30085	0.9	0.1
H4008_k119_90191_flag=0_multi=192.7025_len=76953	0	1
H4039_k119_92866_flag=0_multi=35.0395_len=11735	0.075	0.925
C3027_k119_137694_flag=0_multi=807.6642_len=48485	0.55	0.45
C3031_k119_2456_flag=1_multi=16.9905_len=33909	0.025	0.975
M2026_k119_32183_flag=1_multi=26.0000_len=27116	0.859193744	0.140806256
P6018_k119_135570_flag=1_multi=105.0000_len=34614_fragment_1	0.9	0.1
M2058_k119_7913_flag=0_multi=88.0000_len=37738	0.9375	0.0625
C3005_k119_170158_flag=1_multi=10.0000_len=21234	0.925	0.075
H4014_k119_70406_flag=1_multi=6.0000_len=3647	0.932011278	0.067988722
M2064_k119_94581_flag=0_multi=164.9422_len=56837	0.125	0.875
H4009_k119_75326_flag=1_multi=12.0000_len=42088	0.025	0.975
C3017_k119_35516_flag=1_multi=40.0000_len=8979	0.0125	0.9875
M2075_k119_19077_flag=0_multi=122.8898_len=48904_fragment_1	0	1
C3001_k119_39478_flag=0_multi=57.0000_len=84211_fragment_1	0.0375	0.9625
C3023_k119_119959_flag=1_multi=475.6114_len=98776	1	0
M2075_k119_92077_flag=0_multi=66.6542_len=39437	0.2125	0.7875
C3032_k119_136137_flag=1_multi=40.9748_len=39833	0	1
P6018_k119_35875_flag=0_multi=231.8600_len=66142	0	1
M2068_k119_191321_flag=0_multi=59.9495_len=23464	0.889589792	0.110410208
H4023_k119_90249_flag=1_multi=9.0000_len=3026	0.811878202	0.188121798
C3002_k119_44118_flag=0_multi=443.6860_len=296144_fragment_3	0	1
M2042_k119_310959_flag=0_multi=260.8730_len=41061_fragment_1	0.95	0.05
H4031_k119_55682_flag=0_multi=40.0000_len=36009	0.8875	0.1125
M2042_k119_65252_flag=0_multi=38.5323_len=27459_fragment_1	0.0125	0.9875
C3021_k119_37595_flag=0_multi=391.0000_len=49753	0.394659462	0.605340538
H4008_k119_171048_flag=0_multi=111.8200_len=98750_fragment_1	0.0125	0.9875
H4015_k119_44935_flag=0_multi=21.9763_len=17843	0.2875	0.7125
H4008_k119_92393_flag=0_multi=18.7910_len=38176	0.4	0.6
P6014_k119_153796_flag=3_multi=36.0010_len=37553	0.75	0.25
C3023_k119_312_flag=1_multi=16.0000_len=7677	0.742974941	0.257025059
H4010_k119_46831_flag=1_multi=34.0000_len=38364	0.05	0.95
C3003_k119_71184_flag=0_multi=1712.7067_len=57469	0.75	0.25
C3012_k119_5754_flag=0_multi=26.9813_len=27990	0.881346395	0.118653605
P6038_k119_51071_flag=1_multi=262.0000_len=49583	0.934990788	0.065009212
H4040_k119_115715_flag=1_multi=30.0000_len=79694_fragment_1	0.025	0.975
H4027_k119_5061_flag=0_multi=154.0958_len=127821_fragment_2	0.0375	0.9625
P6016_k119_95789_flag=0_multi=28.3178_len=78570_fragment_1	0.0375	0.9625
M2034_k119_211988_flag=1_multi=60.9484_len=39033	0.1	0.9
M2039_k119_101777_flag=1_multi=24.2549_len=37616	0.0625	0.9375
M2071_k119_87758_flag=1_multi=14.0000_len=23522	0.960226195	0.039773805
C3004_k119_54207_flag=1_multi=522.0000_len=12971	0.811878202	0.188121798
C3013_k119_41033_flag=0_multi=56.3917_len=47106	0	1
C3028_k119_127937_flag=0_multi=216.8805_len=72444	0	1
C3016_k119_8501_flag=1_multi=35.0000_len=34367	0	1
C3028_k119_31912_flag=1_multi=19.0000_len=27789	0	1
E5001_k119_70426_flag=1_multi=16.0000_len=35397_fragment_1	0.8625	0.1375
M2068_k119_82408_flag=0_multi=205.9064_len=87719_fragment_1	0.273044612	0.726955388
H4031_k119_55438_flag=1_multi=54.0000_len=66622_fragment_1	0.060022026	0.939977974
M2077_k119_54215_flag=1_multi=18.0000_len=27057	0.911205405	0.088794595
H4010_k119_39970_flag=1_multi=15.0000_len=43385	0.0125	0.9875
M2068_k119_8081_flag=1_multi=368.9349_len=113137_fragment_1	0.75	0.25
H4045_k119_23631_flag=1_multi=19.0000_len=20106	0.972490788	0.027509212
H4028_k119_74073_flag=0_multi=26.0000_len=41953	0.05	0.95
H4008_k119_183720_flag=0_multi=9.2021_len=6822	0	1
C3027_k119_1936_flag=1_multi=12.0000_len=19845	0.947522026	0.052477974
H4027_k119_66742_flag=1_multi=30.0000_len=46205	0.0125	0.9875
E5009_k119_19463_flag=1_multi=27.0000_len=46214	0.975	0.025
M2097_k119_116778_flag=0_multi=29.0000_len=33486	0	1
H4027_k119_6438_flag=1_multi=24.0000_len=57788	0.0875	0.9125
M2061_k119_69689_flag=0_multi=3605.0406_len=120781	0.7875	0.2125
H4040_k119_41012_flag=1_multi=38.9728_len=21897	0.811878202	0.188121798
E5009_k119_29187_flag=1_multi=21.9958_len=99703_fragment_1	0.15	0.85
H4014_k119_12705_flag=1_multi=75.0000_len=63645_fragment_1	0	1
M2047_k119_117287_flag=1_multi=110.0000_len=23138	0.9	0.1
P6005_k119_174298_flag=3_multi=58.0101_len=5883	0.826396414	0.173603586
M2042_k119_158293_flag=1_multi=41.0000_len=71288_fragment_1	0.8625	0.1375
C3028_k119_2506_flag=1_multi=9.0000_len=7452	0.986710342	0.013289658
M2048_k119_21414_flag=0_multi=42.7387_len=37444	0.110022026	0.889977974
M2097_k119_44281_flag=0_multi=38.7093_len=22662	0.970154185	0.029845815
M2071_k119_121974_flag=3_multi=38.0075_len=5209	0.811878202	0.188121798
E5009_k119_111159_flag=0_multi=29.8435_len=183847_fragment_1	0.7375	0.2625
M2026_k119_15111_flag=1_multi=8.0000_len=6411	0.1	0.9
M2061_k119_49666_flag=1_multi=16.9959_len=27761	0.0375	0.9625
H4039_k119_55274_flag=1_multi=43.0000_len=6046	0.985570871	0.014429129
M2061_k119_56411_flag=0_multi=49.7534_len=21272	0.984927036	0.015072964
P6028_k119_99471_flag=1_multi=36.0000_len=25705	0.932011278	0.067988722
M2075_k119_59374_flag=1_multi=15.0000_len=48699_fragment_1	0.15	0.85
C3004_k119_25810_flag=0_multi=41.9629_len=44341	0.8	0.2
H4018_k119_11507_flag=1_multi=122.0000_len=43856	0.1125	0.8875
P6017_k119_12399_flag=0_multi=16.9087_len=23600	0.155588665	0.844411335
H4019_k119_31539_flag=1_multi=427.6982_len=153204_fragment_1	0.0625	0.9375
P6028_k119_70630_flag=0_multi=80.8106_len=16399	0.645802045	0.354197955
P6012_k119_45740_flag=1_multi=17.0000_len=19237	0.985132159	0.014867841
C3016_k119_200706_flag=1_multi=97.0000_len=62262_fragment_1	0.5875	0.4125
H4017_k119_137011_flag=0_multi=122.9290_len=257952_fragment_3	0	1
H4017_k119_5198_flag=0_multi=309.4373_len=22084	0.0375	0.9625
C3004_k119_125487_flag=0_multi=119.9119_len=54136	0.0625	0.9375
